Customer State,Market,Order Country
PR,Pacific Asia,Indonesia
PR,Pacific Asia,India
CA,Pacific Asia,India
CA,Pacific Asia,Australia
PR,Pacific Asia,Australia
NY,Pacific Asia,Australia
PR,Pacific Asia,China
FL,Pacific Asia,China
PR,Pacific Asia,China
CA,Pacific Asia,China
PR,Pacific Asia,Japón
NY,Pacific Asia,Indonesia
CA,Pacific Asia,Indonesia
PR,Pacific Asia,India
MA,Pacific Asia,India
PR,Pacific Asia,India
PR,Pacific Asia,Corea del Sur
CA,Pacific Asia,India
PR,Pacific Asia,India
IL,Pacific Asia,India
CA,Pacific Asia,India
PR,Pacific Asia,India
CA,Pacific Asia,Australia
PR,Pacific Asia,Australia
MT,Pacific Asia,Australia
PR,Pacific Asia,Australia
PA,Pacific Asia,Australia
PR,Pacific Asia,China
MI,Pacific Asia,China
CA,Pacific Asia,China
PR,Pacific Asia,China
IL,Pacific Asia,India
PR,Pacific Asia,India
MI,Pacific Asia,China
TX,Pacific Asia,China
PR,Pacific Asia,Singapur
PA,Pacific Asia,India
TX,Pacific Asia,Australia
PR,Pacific Asia,Australia
DE,Pacific Asia,Australia
CA,Pacific Asia,Singapur
PR,Pacific Asia,Singapur
GA,Pacific Asia,Indonesia
PR,Pacific Asia,Indonesia
CA,Pacific Asia,Australia
PR,Pacific Asia,India
NY,Pacific Asia,India
TX,Pacific Asia,China
PR,Pacific Asia,India
PR,Pacific Asia,Turquía
PR,Pacific Asia,Australia
PR,Pacific Asia,Turquía
PR,Pacific Asia,Mongolia
PR,Pacific Asia,Turquía
PR,Pacific Asia,India
PR,USCA,Estados Unidos
PR,USCA,Estados Unidos
PR,USCA,Estados Unidos
PR,USCA,Estados Unidos
PR,Africa,Nigeria
PR,Africa,República Democrática del Congo
PR,Africa,Senegal
PR,Africa,Marruecos
PR,Europe,Alemania
PR,Europe,Francia
PR,Europe,Francia
PR,Europe,Países Bajos
PR,Europe,Reino Unido
PR,Europe,Reino Unido
PR,Europe,Francia
PR,Europe,Francia
PR,Europe,Reino Unido
PR,Europe,Alemania
PR,Europe,Francia
PR,LATAM,Guatemala
PR,LATAM,El Salvador
PR,LATAM,Panamá
PR,LATAM,República Dominicana
PR,LATAM,Venezuela
PR,LATAM,Venezuela
PR,LATAM,República Dominicana
PR,LATAM,Colombia
PR,LATAM,El Salvador
PR,LATAM,Honduras
PR,LATAM,Brasil
PR,LATAM,República Dominicana
PR,LATAM,México
PR,LATAM,México
PR,LATAM,México
PR,LATAM,México
PR,LATAM,México
PR,LATAM,Brasil
PR,LATAM,Uruguay
PR,LATAM,Argentina
PR,LATAM,Brasil
PR,LATAM,Brasil
PR,LATAM,Brasil
PR,LATAM,Cuba
PR,LATAM,Cuba
PR,LATAM,República Dominicana
PR,LATAM,México
PR,LATAM,Panamá
PR,LATAM,México
PR,LATAM,Brasil
PR,LATAM,Panamá
PR,LATAM,Brasil
PR,LATAM,Cuba
PR,LATAM,Honduras
PR,LATAM,Perú
PR,LATAM,Cuba
PR,LATAM,México
PR,LATAM,Nicaragua
PR,LATAM,México
PR,LATAM,Argentina
PR,LATAM,Brasil
PR,LATAM,El Salvador
PR,LATAM,México
PR,LATAM,Guatemala
PR,LATAM,Cuba
PR,LATAM,Argentina
PR,LATAM,Guatemala
PR,LATAM,Guatemala
PR,LATAM,Ecuador
PR,LATAM,Nicaragua
PR,LATAM,Venezuela
PR,LATAM,Panamá
PR,LATAM,Panamá
PR,LATAM,Guatemala
PR,LATAM,Brasil
PR,LATAM,Brasil
PR,LATAM,Nicaragua
PR,LATAM,México
PR,LATAM,El Salvador
PR,LATAM,Argentina
PR,LATAM,El Salvador
PR,LATAM,Honduras
PR,LATAM,México
PR,Africa,Angola
PR,Africa,Sudán
PR,Africa,Somalia
PR,Africa,Marruecos
PR,Africa,Sudán
PR,Africa,Costa de Marfil
PR,Africa,Egipto
PR,Africa,Marruecos
PR,Europe,Italia
PR,Europe,Alemania
PR,Europe,Francia
PR,Europe,Alemania
PR,Europe,Alemania
PR,Europe,Italia
PR,Europe,Alemania
PR,Europe,Reino Unido
PR,Europe,Francia
PR,Europe,Alemania
PR,Europe,Reino Unido
PR,Europe,Italia
PR,Europe,Reino Unido
PR,Europe,Italia
PR,Europe,España
PR,Europe,Francia
PR,Europe,España
PR,Europe,Francia
PR,Europe,Reino Unido
PR,Europe,Francia
PR,Europe,Francia
PR,Europe,Reino Unido
PR,Europe,Italia
PR,Europe,Alemania
PR,Europe,Reino Unido
PR,Europe,Italia
PR,Europe,Alemania
PR,Europe,Reino Unido
PR,Europe,Reino Unido
PR,Europe,Francia
PR,Europe,España
PR,Europe,Suecia
PR,Europe,Reino Unido
PR,Europe,Alemania
PR,Europe,Reino Unido
PR,Europe,Países Bajos
PR,Europe,Austria
PR,Europe,Austria
NY,USCA,Estados Unidos
MD,USCA,Estados Unidos
CA,USCA,Estados Unidos
MD,USCA,Estados Unidos
NY,USCA,Estados Unidos
OH,USCA,Estados Unidos
MD,USCA,Estados Unidos
TX,USCA,Estados Unidos
MD,USCA,Estados Unidos
TX,USCA,Canada
NY,USCA,Estados Unidos
TX,USCA,Canada
PA,USCA,Canada
CA,USCA,Estados Unidos
HI,USCA,Estados Unidos
NJ,USCA,Estados Unidos
NY,Africa,Madagascar
CA,Africa,Argelia
TX,Africa,Liberia
TX,Africa,Liberia
WI,Africa,Sudán
PA,Africa,Costa de Marfil
CA,Africa,Zambia
FL,Africa,Marruecos
NY,Africa,Egipto
HI,Africa,Senegal
CA,Africa,Egipto
NY,Africa,Marruecos
CA,Africa,Costa de Marfil
NY,Africa,Egipto
IL,Africa,Níger
MA,Africa,Marruecos
CA,Africa,SudAfrica
AZ,Africa,Marruecos
CA,Africa,Sudán
PA,Africa,Nigeria
CO,Africa,Nigeria
CA,Africa,Mozambique
MD,Africa,SudAfrica
MN,Africa,Tanzania
TX,Africa,Somalia
PA,Africa,Ruanda
PA,Africa,Ruanda
PA,Africa,Egipto
NY,Africa,SudAfrica
NC,Pacific Asia,Turquía
NJ,Pacific Asia,Israel
CA,Pacific Asia,Australia
CA,Pacific Asia,Australia
FL,Pacific Asia,Nueva Zelanda
NM,Pacific Asia,Australia
TX,Pacific Asia,Australia
FL,Pacific Asia,Bangladés
OR,Pacific Asia,India
NJ,Pacific Asia,Tailandia
SC,Pacific Asia,Tailandia
CA,Pacific Asia,Irak
NJ,Pacific Asia,Israel
TX,Pacific Asia,Turquía
VA,Pacific Asia,Arabia Saudí
NY,Pacific Asia,China
CA,Pacific Asia,China
OR,Pacific Asia,Australia
OH,Pacific Asia,Nueva Zelanda
TX,Pacific Asia,Australia
TX,Pacific Asia,India
NY,Pacific Asia,Filipinas
TX,Pacific Asia,Turquía
UT,Pacific Asia,Turquía
VA,Pacific Asia,Arabia Saudí
WA,Pacific Asia,Kazajistán
IL,Pacific Asia,China
MA,Pacific Asia,China
NY,Pacific Asia,China
TX,Pacific Asia,China
PA,Pacific Asia,Australia
CA,Pacific Asia,Australia
MI,Pacific Asia,Australia
CA,Pacific Asia,Australia
CA,Pacific Asia,India
IL,Pacific Asia,Irán
CA,Pacific Asia,India
CA,Pacific Asia,Indonesia
HI,Pacific Asia,Indonesia
OH,Pacific Asia,Myanmar (Birmania)
CA,Pacific Asia,Turquía
NJ,Pacific Asia,Irak
CA,Pacific Asia,Uzbekistán
CA,Pacific Asia,China
FL,Pacific Asia,China
CA,Africa,Benín
FL,Africa,Nigeria
TX,Africa,Nigeria
NJ,Africa,República Democrática del Congo
NJ,Africa,Nigeria
FL,Africa,Camerún
OH,Africa,Angola
VA,Africa,Nigeria
KY,Africa,Kenia
NY,Africa,Zambia
IL,Africa,Nigeria
NY,Africa,Camerún
AZ,Africa,República Democrática del Congo
MA,Africa,Togo
OH,Africa,SudAfrica
NY,Africa,Senegal
NY,Africa,Madagascar
CA,Africa,Togo
TX,Africa,Nigeria
WV,Africa,Argelia
MD,Africa,Marruecos
IL,Africa,Benín
FL,Africa,Sudán
FL,Africa,Tanzania
RI,Africa,Egipto
